date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:40	13521/13521	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202024%2016:27:18%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/project/aginer-charecture-webdesign-5	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/project/aginer-charecture-webdesign-5.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:40	300890/300890	---M--	200	added ('OK')	image/jpeg	etag:%22a4b44b97565f52872bce871b8b6a2b8a%22	https://cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/62120ad15f6f9cb7d164c6f3_Projects%20Image%206.jpg	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/62120ad15f6f9cb7d164c6f3_Projects%20Image%206.jpg	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:41	245655/245655	---M--	200	added ('OK')	image/jpeg	etag:%22e55517030112136bde116e0ff6d419fe%22	https://cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/62120ac6bd803221a913321d_Projects%20Image%205.jpg	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/62120ac6bd803221a913321d_Projects%20Image%205.jpg	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:41	13517/13517	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Nov%202024%2021:24:51%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/project/space-webflow-template	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/project/space-webflow-template.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:41	267489/267489	---M--	200	added ('OK')	image/jpeg	etag:%228ef1a7814306185795348172bbb95b17%22	https://cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/62120ab5eefeeca19d60e5e9_Projects%20Image%204.jpg	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/62120ab5eefeeca19d60e5e9_Projects%20Image%204.jpg	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:41	13520/13520	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Nov%202024%2010:12:47%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/project/booster-branding	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/project/booster-branding.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:42	112589/112589	---M--	200	added ('OK')	image/jpeg	etag:%221f8b95de5c13999bf83d12a10431bfbc%22	https://cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/62120a9f6b4ab8023d3518c1_Projects%20Image%203.jpg	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/62120a9f6b4ab8023d3518c1_Projects%20Image%203.jpg	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:42	122156/122156	---M--	200	added ('OK')	image/png	etag:%2254b4433ce9f209b3b6efbee339bc0394%22	https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f2b7def69cca758061eeb2_About%20Me%20Image%202.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f2b7def69cca758061eeb2_About%20Me%20Image%202.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:43	203392/203392	---M--	200	added ('OK')	image/png	etag:%22bc8a11ee747c0b297902f234f3efe000%22	https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f2b88db5af7addda9a23e9_About%20Me%20Image%201.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f2b88db5af7addda9a23e9_About%20Me%20Image%201.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:43	219813/219813	---M--	200	added ('OK')	image/png	etag:%22058272527679f3d6afb8564f3e6d67e7%22	https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f2b77c81fa4d83b6c46e6b_About%20Me%20Image%203.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f2b77c81fa4d83b6c46e6b_About%20Me%20Image%203.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:44	88131/88131	---M--	200	added ('OK')	image/png	etag:%22b77dc76e05e1603b26f7229cf320e16f%22	https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f2b8599f84a8fc60908bf2_About%20Me%20Image%204.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f2b8599f84a8fc60908bf2_About%20Me%20Image%204.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:44	4317/4317	---M--	200	added ('OK')	image/png	etag:%22b93b97e82b5145e2feb062970ab0db0c%22	https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f3bec85fc6f68066dc55fa_Client%20Image%201.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f3bec85fc6f68066dc55fa_Client%20Image%201.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:45	4070/4070	---M--	200	added ('OK')	image/png	etag:%228e4f720e0b759597710e128f4c3413e0%22	https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f3c04a1f00626ad71c98ef_Client%20Image%202.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f03747d8d407ed117df27f/61f3c04a1f00626ad71c98ef_Client%20Image%202.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:45	10750/10750	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202024%2006:21:40%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/post/empower-your-users-by-building-cards-with-best-possible	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/post/empower-your-users-by-building-cards-with-best-possible.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:46	224403/224403	---M--	200	added ('OK')	image/png	etag:%22c10994b5516be5ee38ae1df1481fe55c%22	https://cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/61f7810ad49a53def93cfd03_Blog%20Thumbnail%201.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/61f7810ad49a53def93cfd03_Blog%20Thumbnail%201.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:46	10719/10719	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202024%2006:37:29%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/post/how-lance-built-banking-for-freelancers	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/post/how-lance-built-banking-for-freelancers.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:46	29570/29570	---M--	200	added ('OK')	image/png	etag:%2258082e699c254dbade527bac55258299%22	https://cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/61f7812339f43709384172ad_Blog%20Thumbnail%202.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/61f7812339f43709384172ad_Blog%20Thumbnail%202.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:46	10738/10738	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202024%2006:38:29%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/post/working-with-rudra-was-a-breeze-i-was-impressed	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/post/working-with-rudra-was-a-breeze-i-was-impressed.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:47	10746/10746	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202024%2006:36:33%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/post/working-with-niloy-was-a-breeze-i-was-impressed	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/post/working-with-niloy-was-a-breeze-i-was-impressed.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:47	65851/65851	---M--	200	added ('OK')	image/png	etag:%22d40af6877d6bc5a89e2679e2869a513a%22	https://cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/61f78136ef5754db738c8522_Blog%20Thumbnail%203.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/61f78136ef5754db738c8522_Blog%20Thumbnail%203.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:47	51725/51725	---M--	200	added ('OK')	image/png	etag:%226961685d9b05a48e621be82d5a39feb0%22	https://cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/61f7815540feca7a16b78024_Blog%20Thumbnail%204.png	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/61f7815540feca7a16b78024_Blog%20Thumbnail%204.png	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:48	10033/10033	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Nov%202024%2009:11:03%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/reference/styleguide	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/reference/styleguide.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:48	8361/8361	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Nov%202024%2009:11:03%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/reference/licenses	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/reference/licenses.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:49	7086/7086	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Nov%202024%2009:11:03%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/reference/changelog	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/reference/changelog.html	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:49	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=61f03747d8d407ed117df27f	C:/My%20Web%20Sites/aaaaa/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c89b6b.js	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:50	296875/296875	---M-Z	200	added ('OK')	text/javascript	etag:%2260539d2725072871f1d2c5b1b303af9f%22	https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/js/webflow.0b1f05381.js	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f03747d8d407ed117df27f/js/webflow.0b1f05381.js	(from https://myfolio-portfolio-webflow-template.webflow.io/)
23:14:50	20501/20501	---M--	200	added ('OK')	image/png	etag:%225937e3563db8cab16c2691511b3d66d8%22	https://uploads-ssl.webflow.com/61f03747d8d407ed117df27f/61f116f06248585a2739061f_Button%20BG.png	C:/My%20Web%20Sites/aaaaa/uploads-ssl.webflow.com/61f03747d8d407ed117df27f/61f116f06248585a2739061f_Button%20BG.png	(from https://cdn.prod.website-files.com/61f03747d8d407ed117df27f/css/myfolio-portfolio-webflow-template.webflow.b43a960bb.css)
23:14:50	13520/13520	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Nov%202024%2009:25:56%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/project/carify-dashbord	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/project/carify-dashbord.html	(from https://myfolio-portfolio-webflow-template.webflow.io/projects)
23:14:51	408743/408743	---M--	200	added ('OK')	image/jpeg	etag:%221669820a7cad161ee53a26d3055d9a07%22	https://cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/62120a7fc23cb9deb7ba712e_Projects%20Image%201.jpg	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/62120a7fc23cb9deb7ba712e_Projects%20Image%201.jpg	(from https://myfolio-portfolio-webflow-template.webflow.io/projects)
23:14:51	13520/13520	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202024%2011:08:32%20GMT	https://myfolio-portfolio-webflow-template.webflow.io/project/aginer-charecture-webdesign	C:/My%20Web%20Sites/aaaaa/myfolio-portfolio-webflow-template.webflow.io/project/aginer-charecture-webdesign.html	(from https://myfolio-portfolio-webflow-template.webflow.io/projects)
23:14:52	76179/76179	---M--	200	added ('OK')	image/jpeg	etag:%2204eb9e491ea4e4c93c968374b5535e24%22	https://cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/62120a93eefeecc5f160e5c4_Projects%20Image%202.jpg	C:/My%20Web%20Sites/aaaaa/cdn.prod.website-files.com/61f77fc62f2d6f5df4a7a073/62120a93eefeecc5f160e5c4_Projects%20Image%202.jpg	(from https://myfolio-portfolio-webflow-template.webflow.io/projects)
23:14:52	110407/110407	---M-Z	200	added ('OK')	text/css	etag:%22fcc380ed20c1ba437c5e89108e319b25%22	https://uploads-ssl.webflow.com/61f03747d8d407ed117df27f/css/myfolio-portfolio-webflow-template.webflow.b43a960bb.css	C:/My%20Web%20Sites/aaaaa/uploads-ssl.webflow.com/61f03747d8d407ed117df27f/css/myfolio-portfolio-webflow-template.webflow.b43a960bb.css	(from https://myfolio-portfolio-webflow-template.webflow.io/contact-us)
23:14:53	476/476	---M--	200	added ('OK')	image/png	etag:%22f94d9b4bb300aaea0bc8d33f68f47ec3%22	https://uploads-ssl.webflow.com/61f03747d8d407ed117df27f/625985b4587eee2cab065671_Superflow_Logo32px.png	C:/My%20Web%20Sites/aaaaa/uploads-ssl.webflow.com/61f03747d8d407ed117df27f/625985b4587eee2cab065671_Superflow_Logo32px.png	(from https://myfolio-portfolio-webflow-template.webflow.io/contact-us)
23:14:54	2106/2106	---M--	200	added ('OK')	image/png	etag:%22a5912643e0f2076b27725f54e6797f53%22	https://uploads-ssl.webflow.com/61f03747d8d407ed117df27f/625985b853b8851d98598edd_Superflow_logo%20256px.png	C:/My%20Web%20Sites/aaaaa/uploads-ssl.webflow.com/61f03747d8d407ed117df27f/625985b853b8851d98598edd_Superflow_logo%20256px.png	(from https://myfolio-portfolio-webflow-template.webflow.io/contact-us)
23:14:54	4317/4317	---M--	200	added ('OK')	image/png	etag:%22b93b97e82b5145e2feb062970ab0db0c%22	https://uploads-ssl.webflow.com/61f03747d8d407ed117df27f/61f3bec85fc6f68066dc55fa_Client%20Image%201.png	C:/My%20Web%20Sites/aaaaa/uploads-ssl.webflow.com/61f03747d8d407ed117df27f/61f3bec85fc6f68066dc55fa_Client%20Image%201.png	(from https://myfolio-portfolio-webflow-template.webflow.io/contact-us)
23:14:55	4070/4070	---M--	200	added ('OK')	image/png	etag:%228e4f720e0b759597710e128f4c3413e0%22	https://uploads-ssl.webflow.com/61f03747d8d407ed117df27f/61f3c04a1f00626ad71c98ef_Client%20Image%202.png	C:/My%20Web%20Sites/aaaaa/uploads-ssl.webflow.com/61f03747d8d407ed117df27f/61f3c04a1f00626ad71c98ef_Client%20Image%202.png	(from https://myfolio-portfolio-webflow-template.webflow.io/contact-us)
23:14:56	296875/296875	---M-Z	200	added ('OK')	text/javascript	etag:%2260539d2725072871f1d2c5b1b303af9f%22	https://uploads-ssl.webflow.com/61f03747d8d407ed117df27f/js/webflow.0b1f05381.js	C:/My%20Web%20Sites/aaaaa/uploads-ssl.webflow.com/61f03747d8d407ed117df27f/js/webflow.0b1f05381.js	(from https://myfolio-portfolio-webflow-template.webflow.io/contact-us)
